feature,importance
visibility_ohe_low,0.2961
traffic_density_ohe_high,0.18361
temperature,0.10399
is_peak_hour,0.06073
lanes,0.05812
weather_ohe_rain,0.04508
traffic_signal,0.02147
is_weekend,0.01876
traffic_density_ohe_low,0.01639
road_type_ohe_urban,0.01542
hour_bin_ohe_night,0.01479
hour_bin_ohe_morning,0.01367
road_type_ohe_highway,0.01354
weather_ohe_fog,0.01208
road_type_ohe_rural,0.01104
hour_bin_ohe_afternoon,0.0103
hour_bin_ohe_evening,0.00953
traffic_density_ohe_medium,0.00928
weather_ohe_clear,0.00917
city_ohe_Pune,0.00913
city_ohe_Chandigarh,0.00911
city_ohe_Kolkata,0.00897
visibility_ohe_medium,0.00893
city_ohe_Bangalore,0.00881
city_ohe_Delhi,0.00831
city_ohe_Mumbai,0.00783
city_ohe_Chennai,0.00781
city_ohe_Hyderabad,0.00684
is_festival,0.00118
visibility_ohe_high,0.0
