model,band,vehicles,avg_probability,actual_positive_rate
baseline_cleaned_lr,Low,2250,0.08090609657516086,0.18888888888888888
baseline_cleaned_lr,Medium,476,0.5613942184134469,0.8760504201680672
baseline_cleaned_lr,High,7238,0.9814530450506951,0.9983420834484664
engineered_full_lr,Low,2253,0.08041221945876817,0.18908122503328895
engineered_full_lr,Medium,457,0.5610663201671966,0.87527352297593
engineered_full_lr,High,7254,0.9815964901765738,0.9983457402812241
leakage_aware_lr,Low,2953,0.22481420615288017,0.5956654249915341
leakage_aware_lr,Medium,2421,0.55282900546965,0.7253201156546881
leakage_aware_lr,High,4590,0.8677346327993197,0.9919389978213508
